Start,Duration,Pitch,Velocity,Label
0.25,0.23,67,1,Right Hand
0.25,0.23,55,1,Right Hand
0.25,0.23,43,1,Left Hand
0.5,0.23,67,1,Right Hand
0.5,0.23,55,1,Right Hand
0.5,0.23,43,1,Left Hand
0.75,0.23,67,1,Right Hand
0.75,0.23,55,1,Right Hand
0.75,0.23,43,1,Left Hand
1,0.97,63,1,Right Hand
1,0.97,51,1,Right Hand
1,0.97,39,1,Left Hand
2.25,0.23,65,1,Right Hand
2.25,0.23,53,1,Right Hand
2.25,0.23,41,1,Left Hand
2.5,0.23,65,1,Right Hand
2.5,0.23,53,1,Right Hand
2.5,0.23,41,1,Left Hand
2.75,0.23,65,1,Right Hand
2.75,0.23,53,1,Right Hand
2.75,0.23,41,1,Left Hand
3,1.97,62,1,Right Hand
3,1.97,50,1,Left Hand
3,1.97,38,1,Left Hand
